baseline_calls,baseline_mean_exec_time,label,post_calls,post_mean_exec_time,queryid,regression_ratio,status
11,155.927870454545,core_admin,11,155.927870454545,-1105581913042748138,,insufficient_calls
22,17.3875170454545,core_admin,22,17.3875170454545,-1285704284349094388,1.0,ok
8,7.577583,core_admin,8,7.577583,-1322409010401165237,,insufficient_calls
8,1370.49172225,core_admin,8,1370.49172225,-1622272143177893839,,insufficient_calls
82,31.3508361219512,core_admin,82,31.3508361219512,-2162852769827606552,1.0,ok
7,20.3856604285714,core_admin,7,20.3856604285714,-2177954779081390171,,insufficient_calls
13,3572.42282669231,core_admin,13,3572.42282669231,-2551060830848654560,,insufficient_calls
1517,2.78289033421226,core_admin,1517,2.78289033421226,-2796331956718989862,1.0,ok
8,397.47933475,core_admin,8,397.47933475,-2882891826357854052,,insufficient_calls
9,71.9641537777778,core_admin,9,71.9641537777778,-3000817635289219303,,insufficient_calls
5942,5.56699968832043,core_admin,5942,5.56699968832043,-3171483593008597627,1.0,ok
4,3.92867875,core_admin,4,3.92867875,-3200150942006294006,,insufficient_calls
11,117.079545727273,core_admin,11,117.079545727273,-3204867858900209366,,insufficient_calls
12,6.91053991666667,core_admin,12,6.91053991666667,-3849261715763090789,,insufficient_calls
13,5730.13034146154,core_admin,13,5730.13034146154,-3969925430085414570,,insufficient_calls
825,9.6878101430303,core_admin,825,9.6878101430303,-3982282494729720341,1.0,ok
24,14.6628211666667,core_admin,24,14.6628211666667,-4346999300912834666,1.0,ok
76,299.629679973684,core_admin,76,299.629679973684,-4636625623407078907,1.0,ok
17,120.676382941176,core_admin,17,120.676382941176,-4803546672766767118,,insufficient_calls
13,125.944397,core_admin,13,125.944397,-5343152064788459010,,insufficient_calls
840,136.927240408333,core_admin,840,136.927240408333,-5709656922509978140,1.0,ok
730,8.59196099589042,core_admin,730,8.59196099589042,-7439146977948180811,1.0,ok
13,3826.71770869231,core_admin,13,3826.71770869231,-7627530754554678049,,insufficient_calls
3,712.056152666667,core_admin,3,712.056152666667,-7753725032185875771,,insufficient_calls
7,29.9723922857143,core_admin,7,29.9723922857143,-7979992979830973111,,insufficient_calls
9,3620.518093,core_admin,9,3620.518093,-8134504135772872698,,insufficient_calls
65,4.61878787692308,core_admin,65,4.61878787692308,-8395185628408076325,1.0,ok
335,6.45971940895522,core_admin,335,6.45971940895522,-8641178223008914089,1.0,ok
4654,12.3621505096691,core_admin,4654,12.3621505096691,-8899701843221961805,1.0,ok
53,31.8850460377358,core_admin,53,31.8850460377358,142862327348602330,1.0,ok
